Symbol,Avg Return (%),Win Rate (%),Volatility (%),Best Window (%),Worst Window (%),Avg Trades/Window,Windows Tested
AAPL,0.1513333333333333,53.333333333333336,0.32128907025709214,0.83,-0.26,1.0,15
GOOGL,0.24400000000000002,60.0,0.3647269037042843,1.01,-0.18,1.0,15
MSFT,0.4826666666666667,86.66666666666667,0.5436183885603507,1.61,-0.15,1.0,15
SPY,0.5693333333333334,93.33333333333333,0.5017891797880669,1.84,-0.01,1.0,15
