total_return_pct,win_rate,max_drawdown_pct,sharpe_ratio,num_trades,window_start,window_end,window_number,compliance_passed,compliance_notes,compliance_firm,worst_daily_pnl,max_drawdown_amount,final_equity
0.42,0.0,-0.02,,1,2024-01-06 06:00:00,2024-01-09 17:00:00,1,False,Position size exceeded: 3.54% > 3%,FTMO,-70.87536535237327,-70.8753653523745,99972.57335587399
0.04,0.0,-0.01,,1,2024-01-10 15:00:00,2024-01-14 02:00:00,2,True,All checks passed,FTMO,-48.71359970043039,-48.713599700437044,100065.20822690653
0.32,0.0,-0.04,,1,2024-01-15 00:00:00,2024-01-18 11:00:00,3,False,Position size exceeded: 6.84% > 3%,FTMO,-14.683056075407821,-27.571877197784488,100175.97380831192
0.18,0.0,-0.03,,1,2024-01-19 09:00:00,2024-01-22 20:00:00,4,True,All checks passed,FTMO,-15.556758503085826,-15.556758503080346,100063.10596675864
0.34,0.0,-0.1,,1,2024-01-23 18:00:00,2024-01-27 05:00:00,5,True,All checks passed,FTMO,-41.644671716193734,-86.35701603452617,99929.61265991475
0.58,0.0,0.0,,1,2024-01-28 03:00:00,2024-01-31 14:00:00,6,True,All checks passed,FTMO,-7.433823689641732,-7.433823689643759,100042.93286109592
-0.05,0.0,-0.07,,1,2024-02-01 12:00:00,2024-02-04 23:00:00,7,False,Position size exceeded: 5.34% > 3%,FTMO,-106.79174523182802,-158.316622705388,99885.76127802176
-0.37,0.0,-0.37,,1,2024-02-05 21:00:00,2024-02-09 08:00:00,8,False,Position size exceeded: 3.00% > 3%,FTMO,-60.06820192162655,-124.42311406535737,99875.57688593464
