,timestamp,close,regime,signal,signal_strength,position,action,entry_price,position_size,primary_reason,secondary_reason
6081,6081,121.057,HIGH_VOLATILITY,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6082,6082,121.057,TRENDING,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6083,6083,121.057,TRENDING,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6084,6084,121.057,TRENDING,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6085,6085,121.057,TRENDING,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6086,6086,121.057,TRENDING,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6087,6087,121.057,TRENDING,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6088,6088,121.057,TRENDING,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6089,6089,121.057,TRENDING,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6090,6090,121.057,TRENDING,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6091,6091,121.057,TRENDING,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6092,6092,121.057,TRENDING,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6093,6093,121.057,TRENDING,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6094,6094,121.057,RANGING,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6095,6095,122.667,RANGING,-1,1.0,-1,SELL,122.667,0.03,"Combined Score Signal: MR=-1.00*1.00, MOM=0.00*0.00","Regime: RANGING, Final Score: 0.50 (threshold: 0.7)"
6096,6096,122.098,RANGING,-1,0.0,0,EXIT_DYNAMIC,,,"Combined Score Signal: MR=0.00*0.00, MOM=0.00*0.00","Regime: RANGING, Final Score: 0.36 (threshold: 0.7)"
6097,6097,120.798,RANGING,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6098,6098,120.277,RANGING,1,0.6086000574462304,1,BUY,120.277,0.03,"Combined Score Signal: MR=1.00*0.61, MOM=0.00*0.00","Regime: RANGING, Final Score: 0.30 (threshold: 0.7)"
6099,6099,120.527,RANGING,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6100,6100,121.178,RANGING,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6101,6101,121.167,RANGING,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6102,6102,121.167,RANGING,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6103,6103,121.167,RANGING,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6104,6104,121.167,RANGING,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6105,6105,121.167,RANGING,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6106,6106,121.167,RANGING,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6107,6107,121.167,RANGING,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6108,6108,121.167,NEUTRAL,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6109,6109,121.167,NEUTRAL,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6110,6110,121.167,NEUTRAL,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6111,6111,121.167,NEUTRAL,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6112,6112,121.167,NEUTRAL,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6113,6113,121.167,NEUTRAL,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6114,6114,121.167,NEUTRAL,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6115,6115,121.167,RANGING,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6116,6116,121.167,RANGING,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6117,6117,121.167,RANGING,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6118,6118,121.167,RANGING,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6119,6119,120.167,RANGING,1,1.0,1,HOLD,120.277,,"Combined Score Signal: MR=1.00*1.00, MOM=0.00*0.00","Regime: RANGING, Final Score: 0.50 (threshold: 0.7)"
6120,6120,119.728,NEUTRAL,1,1.0,1,HOLD,120.277,,"Combined Score Signal: MR=1.00*1.00, MOM=0.00*0.00","Regime: NEUTRAL, Final Score: 0.50 (threshold: 0.7)"
6121,6121,120.277,NEUTRAL,0,0.0,1,HOLD,120.277,,"Signal too weak: MR=oversold: z=-1.73, rsi=36.7","MOM=, Score below 0.7 threshold"
6122,6122,119.798,NEUTRAL,1,0.7655190063279039,1,HOLD,120.277,,"Combined Score Signal: MR=1.00*0.77, MOM=0.00*0.00","Regime: NEUTRAL, Final Score: 0.38 (threshold: 0.7)"
6123,6123,120.337,HIGH_VOLATILITY,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6124,6124,120.658,HIGH_VOLATILITY,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6125,6125,120.688,NEUTRAL,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6126,6126,120.688,NEUTRAL,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6127,6127,120.688,NEUTRAL,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6128,6128,120.688,NEUTRAL,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6129,6129,120.688,NEUTRAL,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6130,6130,120.688,NEUTRAL,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6131,6131,120.688,NEUTRAL,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6132,6132,120.688,NEUTRAL,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6133,6133,120.688,NEUTRAL,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6134,6134,120.688,NEUTRAL,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6135,6135,120.688,NEUTRAL,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6136,6136,120.688,NEUTRAL,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6137,6137,120.688,NEUTRAL,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6138,6138,120.688,RANGING,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6139,6139,120.688,RANGING,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
