Gmt time,Open,High,Low,Close,Volume
01.01.2023 22:00:00.000,130.925,130.962,130.743,130.787,61199999.69
01.01.2023 22:15:00.000,130.787,130.787,130.744,130.749,15599999.79
01.01.2023 22:30:00.000,130.749,130.792,130.746,130.758,13800000.07
01.01.2023 22:45:00.000,130.759,130.767,130.757,130.759,10500000.24
01.01.2023 23:00:00.000,130.771,130.771,130.716,130.737,144900000.33
01.01.2023 23:15:00.000,130.737,130.787,130.725,130.749,46199999.21
01.01.2023 23:30:00.000,130.750,130.870,130.738,130.870,65399999.98
01.01.2023 23:45:00.000,130.870,130.886,130.848,130.870,63300000.79
02.01.2023 00:00:00.000,130.886,131.041,130.871,131.008,155400001.05
02.01.2023 00:15:00.000,131.008,131.024,130.997,130.999,154499999.28
02.01.2023 00:30:00.000,131.000,131.012,130.788,130.796,130539999.84
02.01.2023 00:45:00.000,130.805,130.823,130.791,130.821,112799997.81
02.01.2023 01:00:00.000,130.822,130.859,130.785,130.785,493319989.44
02.01.2023 01:15:00.000,130.791,130.889,130.791,130.864,1317739978.91
02.01.2023 01:30:00.000,130.884,130.932,130.818,130.850,811119976.52
02.01.2023 01:45:00.000,130.850,130.919,130.850,130.919,118420000.91
02.01.2023 02:00:00.000,130.894,130.984,130.894,130.965,212679999.11
02.01.2023 02:15:00.000,130.984,130.999,130.950,130.984,117700000.29
02.01.2023 02:30:00.000,130.989,130.994,130.926,130.974,210039999.96
02.01.2023 02:45:00.000,130.978,130.994,130.954,130.963,177659999.85
02.01.2023 03:00:00.000,130.963,130.989,130.919,130.919,140350000.5
02.01.2023 03:15:00.000,130.919,130.969,130.908,130.919,54119998.93
02.01.2023 03:30:00.000,130.918,130.963,130.879,130.919,130080001.12
02.01.2023 03:45:00.000,130.906,130.941,130.885,130.895,339240001.68
02.01.2023 04:00:00.000,130.896,130.919,130.879,130.902,1037650009.16
02.01.2023 04:15:00.000,130.902,130.930,130.880,130.886,551420010.57
02.01.2023 04:30:00.000,130.886,130.908,130.879,130.907,164319998.74
02.01.2023 04:45:00.000,130.899,130.914,130.879,130.914,265100001.75
02.01.2023 05:00:00.000,130.911,130.917,130.886,130.905,879839997.53
02.01.2023 05:15:00.000,130.911,130.957,130.895,130.937,718059990.17
02.01.2023 05:30:00.000,130.937,130.937,130.899,130.931,1432700007.44
02.01.2023 05:45:00.000,130.919,130.947,130.905,130.916,1378840003.01
02.01.2023 06:00:00.000,130.920,130.936,130.905,130.909,1718819995.88
02.01.2023 06:15:00.000,130.911,130.929,130.904,130.923,391360002.22
02.01.2023 06:30:00.000,130.912,130.939,130.898,130.907,713279984.71
02.01.2023 06:45:00.000,130.899,130.985,130.898,130.939,141140000.34
02.01.2023 07:00:00.000,130.939,130.951,130.904,130.934,548439998.15
02.01.2023 07:15:00.000,130.931,130.963,130.924,130.929,915340004.92
02.01.2023 07:30:00.000,130.938,130.951,130.928,130.929,1331319993.02
02.01.2023 07:45:00.000,130.931,130.973,130.920,130.935,2021159988.4
02.01.2023 08:00:00.000,130.939,130.955,130.922,130.928,872779996.87
02.01.2023 08:15:00.000,130.927,130.955,130.917,130.920,729900012.02
02.01.2023 08:30:00.000,130.920,130.956,130.919,130.936,729660010.34
02.01.2023 08:45:00.000,130.930,130.957,130.908,130.926,3115120039.94
02.01.2023 09:00:00.000,130.926,130.954,130.920,130.946,2560259990.69
02.01.2023 09:15:00.000,130.946,130.953,130.907,130.913,1415289978.03
02.01.2023 09:30:00.000,130.911,130.914,130.852,130.867,1330529992.58
02.01.2023 09:45:00.000,130.869,130.875,130.856,130.867,1334310039.04
02.01.2023 10:00:00.000,130.866,130.873,130.752,130.776,2402449981.69
02.01.2023 10:15:00.000,130.777,130.810,130.753,130.767,2115999994.76
02.01.2023 10:30:00.000,130.773,130.791,130.764,130.772,886340007.78
02.01.2023 10:45:00.000,130.773,130.799,130.763,130.782,801559994.22
02.01.2023 11:00:00.000,130.778,130.876,130.776,130.826,1839060001.37
02.01.2023 11:15:00.000,130.827,130.878,130.783,130.805,2051379966.74
02.01.2023 11:30:00.000,130.805,130.841,130.776,130.811,950519996.17
02.01.2023 11:45:00.000,130.812,130.814,130.761,130.766,1520519975.66
02.01.2023 12:00:00.000,130.766,130.771,130.702,130.716,1215719999.31
02.01.2023 12:15:00.000,130.717,130.796,130.708,130.769,2571490035.06
02.01.2023 12:30:00.000,130.770,130.796,130.722,130.739,2444819997.79
02.01.2023 12:45:00.000,130.737,130.789,130.722,130.727,731020000.46
02.01.2023 13:00:00.000,130.730,130.747,130.659,130.680,1255080002.78
02.01.2023 13:15:00.000,130.680,130.699,130.623,130.651,3110780021.67
02.01.2023 13:30:00.000,130.651,130.686,130.623,130.623,1603019996.64
02.01.2023 13:45:00.000,130.626,130.668,130.617,130.642,1197849994.66
02.01.2023 14:00:00.000,130.642,130.680,130.633,130.667,4562379989.62
02.01.2023 14:15:00.000,130.669,130.700,130.660,130.688,1791200022.7
02.01.2023 14:30:00.000,130.689,130.707,130.668,130.690,1439979995.73
02.01.2023 14:45:00.000,130.691,130.771,130.656,130.707,3209199955.94
02.01.2023 15:00:00.000,130.705,130.796,130.697,130.740,15281560012.82
02.01.2023 15:15:00.000,130.740,130.831,130.730,130.780,6224600074.77
02.01.2023 15:30:00.000,130.780,130.797,130.747,130.773,5838519950.87
02.01.2023 15:45:00.000,130.768,130.816,130.761,130.774,15286079895.02
