Gmt time,Open,High,Low,Close,Volume
02.01.2020 14:00:00.000,323.458,323.978,323.458,323.837,5908750.06
02.01.2020 15:00:00.000,323.598,323.618,322.757,323.238,9338999.75
02.01.2020 16:00:00.000,323.248,323.348,322.528,323.048,16576250.08
02.01.2020 17:00:00.000,323.047,323.438,322.917,323.357,13754249.57
02.01.2020 18:00:00.000,323.358,323.358,322.957,323.157,11327750.21
02.01.2020 19:00:00.000,323.158,323.867,323.127,323.768,12853500.37
02.01.2020 20:00:00.000,323.777,324.788,323.728,324.788,15271750.45
03.01.2020 14:00:00.000,321.107,322.938,321.057,322.727,18315500.26
03.01.2020 15:00:00.000,322.717,323.077,322.027,322.487,28556999.21
03.01.2020 16:00:00.000,322.498,323.218,322.157,323.128,12787500.38
03.01.2020 17:00:00.000,323.127,323.638,323.107,323.398,15259249.69
03.01.2020 18:00:00.000,323.408,323.538,322.318,322.917,18638999.94
03.01.2020 19:00:00.000,322.918,323.308,322.557,323.238,16722499.85
03.01.2020 20:00:00.000,323.237,323.528,322.437,322.578,19743249.89
06.01.2020 14:00:00.000,320.457,321.738,320.357,321.577,18672750.47
06.01.2020 15:00:00.000,321.578,322.478,321.467,322.218,26822250.37
06.01.2020 16:00:00.000,322.217,322.548,322.077,322.268,20114250.18
06.01.2020 17:00:00.000,322.267,322.488,322.137,322.397,14819999.69
06.01.2020 18:00:00.000,322.388,322.868,322.338,322.738,11718500.14
06.01.2020 19:00:00.000,322.738,323.198,322.588,322.978,13917249.68
06.01.2020 20:00:00.000,322.988,323.728,322.887,323.588,17780500.41
07.01.2020 14:00:00.000,322.988,323.278,322.228,322.558,18228250.5
07.01.2020 15:00:00.000,322.567,323.358,322.447,323.248,31533250.81
07.01.2020 16:00:00.000,323.258,323.528,322.717,322.837,19831750.87
07.01.2020 17:00:00.000,322.837,323.048,322.697,322.887,15476249.69
07.01.2020 18:00:00.000,322.888,323.138,322.877,323.137,11847000.12
07.01.2020 19:00:00.000,323.138,323.158,322.628,322.977,16291250.23
07.01.2020 20:00:00.000,322.978,323.348,322.637,322.787,17528249.74
08.01.2020 14:00:00.000,322.928,323.838,322.657,323.717,17621500.02
08.01.2020 15:00:00.000,323.718,323.968,322.877,323.308,25976499.56
08.01.2020 16:00:00.000,323.297,325.208,323.087,324.788,27966749.19
08.01.2020 17:00:00.000,324.798,325.068,324.697,324.878,21153249.74
08.01.2020 18:00:00.000,324.877,324.958,324.557,324.608,14664750.1
08.01.2020 19:00:00.000,324.608,325.248,324.608,325.248,13881250.38
08.01.2020 20:00:00.000,325.248,325.768,324.227,324.367,20623750.69
09.01.2020 14:00:00.000,326.147,326.468,325.647,325.997,17184000.02
09.01.2020 15:00:00.000,325.987,326.548,325.697,326.457,22776750.56
09.01.2020 16:00:00.000,326.458,326.588,326.078,326.518,18072000.5
09.01.2020 17:00:00.000,326.517,326.598,325.507,326.038,19997999.19
09.01.2020 18:00:00.000,326.048,326.368,325.738,326.187,18084249.5
09.01.2020 19:00:00.000,326.188,326.728,326.157,326.487,15858249.66
09.01.2020 20:00:00.000,326.488,326.668,326.107,326.598,17509500.5
10.01.2020 14:00:00.000,327.278,327.428,326.567,327.148,16079500.2
10.01.2020 15:00:00.000,327.148,327.448,326.907,327.198,23925750.73
10.01.2020 16:00:00.000,327.198,327.298,326.407,326.567,19276750.56
10.01.2020 17:00:00.000,326.578,326.618,325.918,326.488,19803249.36
10.01.2020 18:00:00.000,326.497,326.878,326.448,326.747,11893250.47
10.01.2020 19:00:00.000,326.757,326.788,326.037,326.277,14947999.95
10.01.2020 20:00:00.000,326.268,326.308,325.197,325.668,21078750.61
13.01.2020 14:00:00.000,326.388,326.708,325.908,326.638,16878749.85
13.01.2020 15:00:00.000,326.647,326.888,326.287,326.848,22496250.15
13.01.2020 16:00:00.000,326.847,327.278,326.728,327.258,19039249.42
13.01.2020 17:00:00.000,327.257,327.537,327.247,327.308,12079250.34
13.01.2020 18:00:00.000,327.307,327.448,327.178,327.217,9355250.36
13.01.2020 19:00:00.000,327.218,327.588,327.127,327.548,9919249.53
13.01.2020 20:00:00.000,327.547,327.938,327.337,327.928,12126000.4
14.01.2020 14:00:00.000,327.448,327.738,327.057,327.117,17419000.63
14.01.2020 15:00:00.000,327.118,327.788,327.018,327.538,24111249.92
14.01.2020 16:00:00.000,327.537,327.968,327.478,327.968,17936500.55
14.01.2020 17:00:00.000,327.967,328.388,327.888,328.278,13489999.77
14.01.2020 18:00:00.000,328.277,328.598,327.388,327.608,21089500.43
14.01.2020 19:00:00.000,327.608,328.048,326.837,327.587,21825750.35
14.01.2020 20:00:00.000,327.588,327.728,326.977,327.458,19967500.69
15.01.2020 14:00:00.000,327.327,328.657,327.287,328.587,16389749.53
15.01.2020 15:00:00.000,328.598,328.898,328.287,328.888,24066749.57
15.01.2020 16:00:00.000,328.887,329.008,328.327,328.638,21118499.76
15.01.2020 17:00:00.000,328.638,328.858,328.088,328.148,18712249.76
15.01.2020 18:00:00.000,328.147,328.268,327.718,327.918,19602500.92
15.01.2020 19:00:00.000,327.928,328.648,327.877,328.247,14625749.59
15.01.2020 20:00:00.000,328.257,328.278,327.247,328.138,23526500.7
16.01.2020 14:00:00.000,329.668,329.978,329.437,329.667,15393500.33
16.01.2020 15:00:00.000,329.657,330.008,329.507,329.668,24399250.03
16.01.2020 16:00:00.000,329.678,329.908,329.438,329.828,18573999.4
16.01.2020 17:00:00.000,329.827,329.987,329.737,329.888,12435999.87
16.01.2020 18:00:00.000,329.888,330.118,329.797,330.067,11417499.54
16.01.2020 19:00:00.000,330.068,330.128,329.877,329.958,11473500.25
16.01.2020 20:00:00.000,329.957,330.898,329.917,330.878,15566749.57
17.01.2020 14:00:00.000,331.678,331.717,331.177,331.687,13975999.83
17.01.2020 15:00:00.000,331.677,331.808,331.307,331.468,21612499.24
17.01.2020 16:00:00.000,331.467,331.628,331.058,331.547,17315750.12
17.01.2020 17:00:00.000,331.548,331.808,331.457,331.517,11815500.26
17.01.2020 18:00:00.000,331.518,331.778,331.497,331.648,11152999.88
17.01.2020 19:00:00.000,331.658,331.768,331.477,331.708,10732250.21
17.01.2020 20:00:00.000,331.708,332.168,331.297,332.028,16582000.73
21.01.2020 14:00:00.000,330.888,331.528,330.858,331.237,14075499.53
21.01.2020 15:00:00.000,331.238,331.528,330.947,331.158,22855749.13
21.01.2020 16:00:00.000,331.158,332.068,331.137,331.977,16028249.74
21.01.2020 17:00:00.000,331.988,332.168,331.897,332.008,11672499.66
21.01.2020 18:00:00.000,332.008,332.088,330.937,330.998,18916250.23
21.01.2020 19:00:00.000,330.988,331.488,330.818,331.388,19955499.65
21.01.2020 20:00:00.000,331.388,331.758,331.017,331.278,18323249.82
22.01.2020 14:00:00.000,332.218,332.758,331.997,332.647,14372750.28
22.01.2020 15:00:00.000,332.648,332.938,332.267,332.348,22243249.89
22.01.2020 16:00:00.000,332.347,332.388,331.818,332.027,19452249.53
22.01.2020 17:00:00.000,332.028,332.168,331.637,332.148,16804750.44
22.01.2020 18:00:00.000,332.147,332.388,332.047,332.048,13321749.69
22.01.2020 19:00:00.000,332.038,332.268,331.917,332.028,12791500.09
22.01.2020 20:00:00.000,332.028,332.038,331.167,331.398,23979749.68
23.01.2020 14:00:00.000,330.618,330.768,329.407,330.278,17593250.27
23.01.2020 15:00:00.000,330.288,330.808,330.067,330.298,25981000.9
23.01.2020 16:00:00.000,330.267,330.388,329.598,330.157,24101249.69
23.01.2020 17:00:00.000,330.147,330.658,330.007,330.318,16659000.4
23.01.2020 18:00:00.000,330.307,331.198,330.197,331.187,16197750.09
23.01.2020 19:00:00.000,331.188,331.698,331.128,331.678,16119749.07
23.01.2020 20:00:00.000,331.678,331.898,331.427,331.737,18865249.63
24.01.2020 14:00:00.000,332.408,332.508,331.747,332.218,16331499.1
24.01.2020 15:00:00.000,332.217,332.218,330.827,331.158,28884750.37
24.01.2020 16:00:00.000,331.168,331.538,329.937,329.958,27762250.9
24.01.2020 17:00:00.000,329.948,329.958,328.687,329.778,30822250.37
24.01.2020 18:00:00.000,329.777,329.798,328.018,328.458,27099000.93
24.01.2020 19:00:00.000,328.448,328.618,327.357,328.598,31131999.97
24.01.2020 20:00:00.000,328.598,329.248,327.827,328.758,31616750.72
27.01.2020 14:00:00.000,323.017,324.678,322.667,324.468,21020000.46
27.01.2020 15:00:00.000,324.458,324.598,323.278,323.858,34186248.78
27.01.2020 16:00:00.000,323.848,324.418,323.298,324.188,30217750.55
27.01.2020 17:00:00.000,324.187,325.118,323.978,324.678,23521999.36
27.01.2020 18:00:00.000,324.668,325.058,324.427,324.607,19895000.46
27.01.2020 19:00:00.000,324.608,324.978,323.877,324.208,21133249.28
27.01.2020 20:00:00.000,324.208,324.538,323.448,323.498,25145500.18
28.01.2020 14:00:00.000,325.037,325.478,324.537,325.088,19248500.82
28.01.2020 15:00:00.000,325.108,327.008,325.098,326.848,30719499.59
28.01.2020 16:00:00.000,326.847,327.238,326.437,327.208,25234249.12
28.01.2020 17:00:00.000,327.207,327.448,326.997,327.108,16263999.94
28.01.2020 18:00:00.000,327.107,327.168,326.627,327.088,13931500.43
28.01.2020 19:00:00.000,327.087,327.838,327.087,327.428,16116750.72
28.01.2020 20:00:00.000,327.427,327.678,326.798,326.868,20480749.13
29.01.2020 14:00:00.000,328.348,328.458,327.137,327.258,17601499.56
29.01.2020 15:00:00.000,327.268,327.878,326.378,327.818,34093498.23
29.01.2020 16:00:00.000,327.817,328.058,327.597,327.908,22360750.2
29.01.2020 17:00:00.000,327.908,328.068,327.758,327.818,15559000.02
29.01.2020 18:00:00.000,327.818,328.297,327.667,328.038,12381250.38
29.01.2020 19:00:00.000,328.037,328.607,327.747,327.767,21997249.6
29.01.2020 20:00:00.000,327.768,327.878,326.547,326.607,27789249.42
30.01.2020 14:00:00.000,324.308,325.878,324.278,325.197,19544750.21
30.01.2020 15:00:00.000,325.178,325.858,323.538,323.717,31613250.73
30.01.2020 16:00:00.000,323.708,325.688,323.627,325.167,28486249.92
30.01.2020 17:00:00.000,325.168,325.348,323.847,324.258,24685749.05
30.01.2020 18:00:00.000,324.267,324.708,324.037,324.528,20152999.88
30.01.2020 19:00:00.000,324.527,326.158,324.447,325.878,26944499.97
30.01.2020 20:00:00.000,325.868,327.898,325.727,327.657,31263500.21
31.01.2020 14:00:00.000,326.938,327.158,325.417,326.028,20931499.48
31.01.2020 15:00:00.000,326.027,326.028,323.748,323.957,37570499.42
31.01.2020 16:00:00.000,323.948,324.328,322.628,324.088,38085998.54
31.01.2020 17:00:00.000,324.078,324.078,322.097,322.688,33387500.76
31.01.2020 18:00:00.000,322.687,323.138,321.657,322.467,31166500.09
31.01.2020 19:00:00.000,322.468,323.218,322.167,322.477,28967250.82
31.01.2020 20:00:00.000,322.477,322.738,320.737,321.788,33989749.91
03.02.2020 14:00:00.000,323.347,325.218,323.217,325.138,17436500.55
03.02.2020 15:00:00.000,325.138,326.148,324.897,325.168,32248001.1
03.02.2020 16:00:00.000,325.177,325.518,323.707,324.258,29037250.52
03.02.2020 17:00:00.000,324.248,324.928,323.907,324.838,22127750.4
