Gmt time,Open,High,Low,Close,Volume
03.01.2023 14:30:00.000,89.567,90.327,89.386,90.267,3205200.02
03.01.2023 14:35:00.000,90.277,90.677,89.667,90.606,2972400.01
03.01.2023 14:40:00.000,90.616,91.027,90.397,90.547,2894399.94
03.01.2023 14:45:00.000,90.576,90.747,90.146,90.287,2990399.96
03.01.2023 14:50:00.000,90.286,90.597,89.886,90.037,2121599.97
03.01.2023 14:55:00.000,90.026,90.077,89.456,89.516,1909199.98
03.01.2023 15:00:00.000,89.527,89.697,89.106,89.116,1589999.97
03.01.2023 15:05:00.000,89.107,89.247,88.996,89.036,1552800.03
03.01.2023 15:10:00.000,89.037,89.096,88.656,88.787,1492800.01
03.01.2023 15:15:00.000,88.797,88.897,88.606,88.657,1465200.01
03.01.2023 15:20:00.000,88.657,88.937,88.636,88.886,1302000
03.01.2023 15:25:00.000,88.896,88.977,88.826,88.967,1146000
03.01.2023 15:30:00.000,88.976,88.976,88.696,88.876,1014000
03.01.2023 15:35:00.000,88.877,89.227,88.877,89.097,837599.99
03.01.2023 15:40:00.000,89.106,89.317,89.036,89.057,829200
03.01.2023 15:45:00.000,89.046,89.267,89.046,89.146,672000
03.01.2023 15:50:00.000,89.147,89.197,88.996,89.007,788399.99
03.01.2023 15:55:00.000,89.016,89.497,89.006,89.487,939599.99
03.01.2023 16:00:00.000,89.477,89.567,89.237,89.306,784799.99
03.01.2023 16:05:00.000,89.307,89.367,89.026,89.047,757200
03.01.2023 16:10:00.000,89.067,89.206,88.946,89.006,919200
03.01.2023 16:15:00.000,89.016,89.207,88.997,89.206,747600
03.01.2023 16:20:00.000,89.217,89.257,89.007,89.196,664800
03.01.2023 16:25:00.000,89.206,89.207,88.997,89.166,723599.99
03.01.2023 16:30:00.000,89.166,89.167,88.747,88.907,1063200.01
03.01.2023 16:35:00.000,88.897,89.117,88.896,89.066,853200.02
03.01.2023 16:40:00.000,89.077,89.097,88.886,88.886,807599.99
03.01.2023 16:45:00.000,88.897,88.917,88.716,88.876,1015200
03.01.2023 16:50:00.000,88.887,88.907,88.726,88.797,717600.01
03.01.2023 16:55:00.000,88.797,88.837,88.676,88.746,618000
03.01.2023 17:00:00.000,88.737,88.797,88.636,88.726,625200
03.01.2023 17:05:00.000,88.736,88.997,88.696,88.896,682800
03.01.2023 17:10:00.000,88.906,88.937,88.837,88.846,600000
03.01.2023 17:15:00.000,88.837,88.877,88.676,88.706,663600.01
03.01.2023 17:20:00.000,88.707,88.837,88.577,88.596,655200
03.01.2023 17:25:00.000,88.586,88.767,88.586,88.707,504000
03.01.2023 17:30:00.000,88.707,88.966,88.696,88.897,729600.01
03.01.2023 17:35:00.000,88.896,88.957,88.807,88.837,646800
03.01.2023 17:40:00.000,88.837,88.847,88.676,88.726,600000.01
03.01.2023 17:45:00.000,88.726,88.757,88.517,88.526,854399.99
03.01.2023 17:50:00.000,88.536,88.627,88.527,88.596,616800
03.01.2023 17:55:00.000,88.607,88.797,88.526,88.747,642000
03.01.2023 18:00:00.000,88.757,88.827,88.696,88.757,492000.01
03.01.2023 18:05:00.000,88.747,88.747,88.636,88.697,483600.01
03.01.2023 18:10:00.000,88.697,88.817,88.586,88.637,502800
03.01.2023 18:15:00.000,88.647,88.697,88.616,88.637,478800
03.01.2023 18:20:00.000,88.647,88.717,88.576,88.666,478800.01
03.01.2023 18:25:00.000,88.667,88.937,88.656,88.866,768000
03.01.2023 18:30:00.000,88.867,88.977,88.836,88.887,690000
03.01.2023 18:35:00.000,88.896,88.997,88.846,88.867,626400
03.01.2023 18:40:00.000,88.867,89.037,88.866,88.956,700799.99
03.01.2023 18:45:00.000,88.957,88.957,88.846,88.907,736800.02
03.01.2023 18:50:00.000,88.907,89.097,88.896,88.997,592800.01
03.01.2023 18:55:00.000,88.986,89.047,88.927,89.017,656400
03.01.2023 19:00:00.000,89.027,89.127,88.936,89.036,931200
03.01.2023 19:05:00.000,89.047,89.307,89.016,89.286,808800
03.01.2023 19:10:00.000,89.277,89.307,89.046,89.187,740400
03.01.2023 19:15:00.000,89.186,89.357,89.186,89.217,582000.01
03.01.2023 19:20:00.000,89.206,89.347,89.146,89.187,630000
03.01.2023 19:25:00.000,89.177,89.307,89.146,89.276,596400
03.01.2023 19:30:00.000,89.286,89.327,88.906,89.007,711600.02
03.01.2023 19:35:00.000,89.016,89.057,88.967,89.016,417600.01
03.01.2023 19:40:00.000,89.027,89.286,88.976,89.267,650400
03.01.2023 19:45:00.000,89.257,89.617,89.236,89.547,1090799.97
03.01.2023 19:50:00.000,89.556,89.567,89.396,89.497,859200
03.01.2023 19:55:00.000,89.506,89.606,89.326,89.436,869999.99
03.01.2023 20:00:00.000,89.447,89.577,89.296,89.427,1075199.99
03.01.2023 20:05:00.000,89.436,89.497,89.326,89.387,860400.01
03.01.2023 20:10:00.000,89.386,89.587,89.386,89.566,620400.01
03.01.2023 20:15:00.000,89.566,89.717,89.546,89.546,782399.99
03.01.2023 20:20:00.000,89.556,89.577,89.366,89.457,824400
03.01.2023 20:25:00.000,89.446,89.567,89.426,89.516,669600.02
03.01.2023 20:30:00.000,89.527,89.647,89.456,89.587,885599.99
03.01.2023 20:35:00.000,89.586,89.687,89.457,89.476,705600
03.01.2023 20:40:00.000,89.467,89.536,89.266,89.267,827999.99
03.01.2023 20:45:00.000,89.267,89.347,89.207,89.246,758400.01
03.01.2023 20:50:00.000,89.237,89.357,89.046,89.116,967200
03.01.2023 20:55:00.000,89.107,89.147,88.917,89.117,580800
04.01.2023 14:30:00.000,90.326,90.567,88.826,88.956,2922000.05
04.01.2023 14:35:00.000,88.947,89.197,88.816,89.126,2635199.99
04.01.2023 14:40:00.000,89.136,89.606,88.816,88.836,2798399.96
04.01.2023 14:45:00.000,88.827,88.967,88.437,88.487,2526000.05
04.01.2023 14:50:00.000,88.486,89.066,88.476,88.726,2151600
04.01.2023 14:55:00.000,88.727,88.857,88.496,88.507,1718400
04.01.2023 15:00:00.000,88.506,89.077,88.056,88.136,3346800.03
04.01.2023 15:05:00.000,88.126,88.267,87.846,87.936,2636400.01
04.01.2023 15:10:00.000,87.937,87.957,87.477,87.676,1813200
04.01.2023 15:15:00.000,87.667,87.897,87.616,87.707,1818000.02
04.01.2023 15:20:00.000,87.696,87.846,87.266,87.447,1728000.02
04.01.2023 15:25:00.000,87.436,87.577,87.377,87.576,1742399.99
04.01.2023 15:30:00.000,87.566,87.767,87.276,87.566,1602000
04.01.2023 15:35:00.000,87.556,87.797,87.516,87.617,1488000.04
04.01.2023 15:40:00.000,87.617,87.996,87.486,87.966,1204800.01
04.01.2023 15:45:00.000,87.947,88.277,87.947,88.186,1485600.02
04.01.2023 15:50:00.000,88.176,88.226,87.956,88.036,1318800
04.01.2023 15:55:00.000,88.027,88.167,87.886,88.066,1237199.99
04.01.2023 16:00:00.000,88.067,88.116,87.896,87.917,969599.99
04.01.2023 16:05:00.000,87.906,87.967,87.746,87.767,1183200
04.01.2023 16:10:00.000,87.757,87.927,87.606,87.846,1466400
04.01.2023 16:15:00.000,87.856,88.277,87.786,88.216,1213199.99
04.01.2023 16:20:00.000,88.227,88.327,88.106,88.107,940800.03
04.01.2023 16:25:00.000,88.117,88.357,88.066,88.357,804000.01
04.01.2023 16:30:00.000,88.356,88.777,88.356,88.757,1392000.02
