Gmt time,Open,High,Low,Close,Volume
03.01.2023 14:30:00.000,384.366,385.097,383.577,384.497,38953535.56
03.01.2023 14:35:00.000,384.496,385.426,384.297,385.356,37567615.03
03.01.2023 14:40:00.000,385.376,386.417,385.116,385.247,36656984.33
03.01.2023 14:45:00.000,385.246,385.367,382.996,383.487,37277290.34
03.01.2023 14:50:00.000,383.486,383.937,382.506,382.787,32498836.99
03.01.2023 14:55:00.000,382.786,383.087,381.656,381.696,31667157.17
03.01.2023 15:00:00.000,381.756,382.557,381.656,382.106,36168645.86
03.01.2023 15:05:00.000,382.117,382.356,381.766,381.947,30664247.04
03.01.2023 15:10:00.000,381.957,382.007,380.916,381.146,33845137.6
03.01.2023 15:15:00.000,381.167,381.357,380.196,380.257,30069985.39
03.01.2023 15:20:00.000,380.247,380.976,380.126,380.806,26756721.97
03.01.2023 15:25:00.000,380.807,380.927,380.446,380.927,24460017.2
03.01.2023 15:30:00.000,380.937,380.946,380.087,380.617,27152760.03
03.01.2023 15:35:00.000,380.606,381.097,380.556,380.977,23839559.56
03.01.2023 15:40:00.000,380.987,381.356,380.957,381.046,22572374.82
03.01.2023 15:45:00.000,381.047,381.707,381.027,381.386,22110350.13
03.01.2023 15:50:00.000,381.396,381.487,380.887,380.937,23562471.39
03.01.2023 15:55:00.000,380.916,382.086,380.916,382.036,24222444.06
03.01.2023 16:00:00.000,382.026,382.307,381.536,381.586,23232385.64
03.01.2023 16:05:00.000,381.577,381.667,380.686,380.726,24209204.2
03.01.2023 16:10:00.000,380.727,380.827,379.477,379.647,28934917.93
03.01.2023 16:15:00.000,379.647,380.127,379.496,379.956,25146519.66
03.01.2023 16:20:00.000,379.946,380.457,379.617,380.096,24182808.4
03.01.2023 16:25:00.000,380.096,380.167,379.456,380.016,22796804.9
03.01.2023 16:30:00.000,380.027,380.027,378.957,379.477,29053627.97
03.01.2023 16:35:00.000,379.487,379.797,379.296,379.616,25172778.13
03.01.2023 16:40:00.000,379.616,379.717,379.076,379.086,23852818.01
03.01.2023 16:45:00.000,379.087,379.196,378.716,379.077,23681290.15
03.01.2023 16:50:00.000,379.066,379.317,378.696,378.977,22585650.92
03.01.2023 16:55:00.000,378.997,379.257,378.646,379.076,22506263.49
03.01.2023 17:00:00.000,379.076,379.236,378.826,378.917,21318360.09
03.01.2023 17:05:00.000,378.927,379.647,378.796,379.416,20196365.83
03.01.2023 17:10:00.000,379.427,379.707,379.257,379.577,15536693.81
03.01.2023 17:15:00.000,379.597,379.617,378.977,379.177,19285519.84
03.01.2023 17:20:00.000,379.186,379.447,378.417,378.607,19391160.25
03.01.2023 17:25:00.000,378.607,379.096,378.536,378.946,17331968.07
03.01.2023 17:30:00.000,378.966,380.006,378.827,379.797,19562857.39
03.01.2023 17:35:00.000,379.816,379.947,379.366,379.447,18981883.76
03.01.2023 17:40:00.000,379.446,379.477,378.726,378.817,17899616.72
03.01.2023 17:45:00.000,378.807,378.827,377.836,378.097,23509582.04
03.01.2023 17:50:00.000,378.107,378.327,378.046,378.177,16936023.95
03.01.2023 17:55:00.000,378.176,378.917,377.966,378.606,18995189.19
03.01.2023 18:00:00.000,378.607,378.767,378.336,378.707,15721509.93
03.01.2023 18:05:00.000,378.707,378.717,378.396,378.526,16473983.05
03.01.2023 18:10:00.000,378.537,378.977,378.406,378.487,18018290.76
03.01.2023 18:15:00.000,378.497,378.686,378.366,378.496,17001967.91
03.01.2023 18:20:00.000,378.506,378.747,378.336,378.586,15681983.71
03.01.2023 18:25:00.000,378.587,379.657,378.556,379.497,22559212.68
03.01.2023 18:30:00.000,379.517,379.596,379.157,379.206,20671674.01
03.01.2023 18:35:00.000,379.216,379.627,379.087,379.136,20315292.36
03.01.2023 18:40:00.000,379.157,379.737,379.116,379.346,19087623.83
03.01.2023 18:45:00.000,379.357,379.357,378.957,379.276,20750828.27
03.01.2023 18:50:00.000,379.297,379.937,379.117,379.736,18717931.75
03.01.2023 18:55:00.000,379.737,379.967,379.566,379.827,19615525.72
03.01.2023 19:00:00.000,379.857,380.187,379.346,379.567,23364493.61
03.01.2023 19:05:00.000,379.557,379.787,379.337,379.607,20288899.9
03.01.2023 19:10:00.000,379.597,379.687,378.917,379.296,22849822.04
03.01.2023 19:15:00.000,379.297,379.647,379.146,379.257,20130594.02
03.01.2023 19:20:00.000,379.257,379.416,378.836,378.946,17820394.04
03.01.2023 19:25:00.000,378.947,379.097,378.777,378.976,17107686.76
03.01.2023 19:30:00.000,378.996,379.057,378.066,378.306,20302151.2
03.01.2023 19:35:00.000,378.307,378.477,378.206,378.386,15932816.03
03.01.2023 19:40:00.000,378.377,379.457,378.336,379.436,18533269.88
03.01.2023 19:45:00.000,379.447,380.737,379.357,380.517,27931848.05
03.01.2023 19:50:00.000,380.517,380.567,379.777,379.987,21516721.96
03.01.2023 19:55:00.000,379.987,380.487,379.666,380.006,23589190.01
03.01.2023 20:00:00.000,380.017,380.647,379.806,380.226,25595535.28
03.01.2023 20:05:00.000,380.237,380.396,379.846,379.996,21477003.1
03.01.2023 20:10:00.000,379.996,380.637,379.926,380.547,19655457.74
03.01.2023 20:15:00.000,380.587,381.126,380.556,380.657,19549662.59
03.01.2023 20:20:00.000,380.656,380.657,379.826,379.876,21675058.84
03.01.2023 20:25:00.000,379.887,380.397,379.876,380.347,18348525.05
03.01.2023 20:30:00.000,380.347,381.007,380.287,380.846,20499773.03
03.01.2023 20:35:00.000,380.857,381.066,380.456,380.616,20837699.41
03.01.2023 20:40:00.000,380.597,380.936,380.366,380.556,18175200.22
03.01.2023 20:45:00.000,380.567,380.987,380.356,380.836,20103899.72
03.01.2023 20:50:00.000,380.847,381.197,380.537,381.076,23610000.13
03.01.2023 20:55:00.000,381.056,381.127,380.687,380.826,21977700.71
04.01.2023 14:30:00.000,383.176,383.257,381.876,382.396,38008500.1
04.01.2023 14:35:00.000,382.387,383.797,382.387,383.166,38277300.36
04.01.2023 14:40:00.000,383.166,384.137,382.427,382.586,36870599.75
04.01.2023 14:45:00.000,382.597,382.977,382.156,382.717,36874199.87
04.01.2023 14:50:00.000,382.707,383.127,382.456,382.836,35721600.06
04.01.2023 14:55:00.000,382.827,383.266,382.606,383.207,31818899.63
04.01.2023 15:00:00.000,383.216,384.167,381.227,381.406,44415300.37
04.01.2023 15:05:00.000,381.396,381.866,380.536,380.896,40668000.22
04.01.2023 15:10:00.000,380.896,381.017,379.987,380.937,37472637.18
04.01.2023 15:15:00.000,380.947,381.507,380.686,381.236,34373203.75
04.01.2023 15:20:00.000,381.236,381.516,380.576,381.107,33911034.11
04.01.2023 15:25:00.000,381.117,381.647,380.636,381.647,34703084.95
04.01.2023 15:30:00.000,381.636,381.677,380.856,381.347,33053099.63
04.01.2023 15:35:00.000,381.357,381.726,381.146,381.267,32762919.43
04.01.2023 15:40:00.000,381.266,382.276,380.987,382.146,29594744.68
04.01.2023 15:45:00.000,382.137,382.846,382.137,382.726,29370360.37
04.01.2023 15:50:00.000,382.737,382.787,382.406,382.647,25212308.88
04.01.2023 15:55:00.000,382.647,382.937,382.386,382.937,27261265.28
04.01.2023 16:00:00.000,382.957,383.067,382.486,382.486,27041399.96
04.01.2023 16:05:00.000,382.497,382.937,382.307,382.766,26477099.9
04.01.2023 16:10:00.000,382.776,383.447,382.746,383.437,26691899.78
04.01.2023 16:15:00.000,383.436,383.607,383.166,383.267,25132500.17
04.01.2023 16:20:00.000,383.267,383.377,383.116,383.186,20340300.32
04.01.2023 16:25:00.000,383.196,383.676,383.087,383.566,20089800.36
04.01.2023 16:30:00.000,383.576,384.817,383.576,384.646,29506499.77
04.01.2023 16:35:00.000,384.656,385.277,384.656,385.097,27348000.05
04.01.2023 16:40:00.000,385.127,385.416,385.116,385.297,23957699.78
04.01.2023 16:45:00.000,385.286,385.416,384.986,385.327,23024100.3
04.01.2023 16:50:00.000,385.337,385.607,385.156,385.486,19572899.58
04.01.2023 16:55:00.000,385.476,385.867,385.426,385.476,19644600.15
04.01.2023 17:00:00.000,385.486,385.626,385.267,385.397,21770099.88
04.01.2023 17:05:00.000,385.416,385.417,385.066,385.227,19782299.52
04.01.2023 17:10:00.000,385.217,385.407,385.086,385.156,16754699.95
04.01.2023 17:15:00.000,385.156,385.417,385.097,385.306,16222800.02
04.01.2023 17:20:00.000,385.306,385.617,385.156,385.567,15123599.77
04.01.2023 17:25:00.000,385.556,385.577,385.126,385.177,16358099.94
04.01.2023 17:30:00.000,385.176,385.667,385.176,385.517,14874300
04.01.2023 17:35:00.000,385.516,385.707,385.366,385.616,15892499.69
04.01.2023 17:40:00.000,385.626,385.727,385.526,385.667,14294100.05
04.01.2023 17:45:00.000,385.676,385.697,385.246,385.367,14664000.03
