index,open,high,low,close,volume,date
2020-02-03 14:00:00+00:00,1458.578,1467.067,1456.098,1465.908,4129000.19,0
2020-02-03 15:00:00+00:00,1465.908,1475.088,1465.247,1467.728,5398499.97,1
2020-02-03 16:00:00+00:00,1468.007,1474.158,1467.577,1469.968,4959499.84,2
2020-02-03 17:00:00+00:00,1469.967,1480.127,1467.828,1479.417,4112500.19,3
2020-02-03 18:00:00+00:00,1479.408,1480.377,1474.697,1479.198,4344749.93,4
2020-02-03 19:00:00+00:00,1479.198,1479.458,1474.138,1477.257,4039249.9,5
2020-02-03 20:00:00+00:00,1477.258,1485.858,1475.997,1482.838,6745500.09,6
2020-02-03 21:00:00+00:00,1477.258,1485.858,1475.997,1482.838,6745500.09,7
2020-02-03 22:00:00+00:00,1477.258,1485.858,1475.997,1482.838,6745500.09,8
2020-02-03 23:00:00+00:00,1477.258,1485.858,1475.997,1482.838,6745500.09,9
2020-02-04 00:00:00+00:00,1477.258,1485.858,1475.997,1482.838,6745500.09,10
2020-02-04 01:00:00+00:00,1477.258,1485.858,1475.997,1482.838,6745500.09,11
2020-02-04 02:00:00+00:00,1477.258,1485.858,1475.997,1482.838,6745500.09,12
2020-02-04 03:00:00+00:00,1477.258,1485.858,1475.997,1482.838,6745500.09,13
2020-02-04 04:00:00+00:00,1477.258,1485.858,1475.997,1482.838,6745500.09,14
2020-02-04 05:00:00+00:00,1477.258,1485.858,1475.997,1482.838,6745500.09,15
2020-02-04 06:00:00+00:00,1477.258,1485.858,1475.997,1482.838,6745500.09,16
2020-02-04 07:00:00+00:00,1477.258,1485.858,1475.997,1482.838,6745500.09,17
2020-02-04 08:00:00+00:00,1477.258,1485.858,1475.997,1482.838,6745500.09,18
2020-02-04 09:00:00+00:00,1477.258,1485.858,1475.997,1482.838,6745500.09,19
2020-02-04 10:00:00+00:00,1477.258,1485.858,1475.997,1482.838,6745500.09,20
2020-02-04 11:00:00+00:00,1477.258,1485.858,1475.997,1482.838,6745500.09,21
2020-02-04 12:00:00+00:00,1477.258,1485.858,1475.997,1482.838,6745500.09,22
2020-02-04 13:00:00+00:00,1477.258,1485.858,1475.997,1482.838,6745500.09,23
2020-02-04 14:00:00+00:00,1451.598,1466.488,1422.997,1426.498,5389750.0,24
2020-02-04 15:00:00+00:00,1426.827,1428.508,1421.997,1426.317,6144750.12,25
2020-02-04 16:00:00+00:00,1426.318,1435.898,1425.998,1433.618,5676000.12,26
2020-02-04 17:00:00+00:00,1433.648,1441.078,1431.998,1439.568,5572000.03,27
2020-02-04 18:00:00+00:00,1439.628,1440.088,1434.008,1435.438,3048249.96,28
2020-02-04 19:00:00+00:00,1435.338,1442.528,1435.198,1440.947,2737750.05,29
2020-02-04 20:00:00+00:00,1441.097,1447.138,1437.787,1445.837,5080999.85,30
2020-02-04 21:00:00+00:00,1441.097,1447.138,1437.787,1445.837,5080999.85,31
2020-02-04 22:00:00+00:00,1441.097,1447.138,1437.787,1445.837,5080999.85,32
2020-02-04 23:00:00+00:00,1441.097,1447.138,1437.787,1445.837,5080999.85,33
2020-02-05 00:00:00+00:00,1441.097,1447.138,1437.787,1445.837,5080999.85,34
2020-02-05 01:00:00+00:00,1441.097,1447.138,1437.787,1445.837,5080999.85,35
2020-02-05 02:00:00+00:00,1441.097,1447.138,1437.787,1445.837,5080999.85,36
2020-02-05 03:00:00+00:00,1441.097,1447.138,1437.787,1445.837,5080999.85,37
2020-02-05 04:00:00+00:00,1441.097,1447.138,1437.787,1445.837,5080999.85,38
2020-02-05 05:00:00+00:00,1441.097,1447.138,1437.787,1445.837,5080999.85,39
2020-02-05 06:00:00+00:00,1441.097,1447.138,1437.787,1445.837,5080999.85,40
2020-02-05 07:00:00+00:00,1441.097,1447.138,1437.787,1445.837,5080999.85,41
2020-02-05 08:00:00+00:00,1441.097,1447.138,1437.787,1445.837,5080999.85,42
2020-02-05 09:00:00+00:00,1441.097,1447.138,1437.787,1445.837,5080999.85,43
2020-02-05 10:00:00+00:00,1441.097,1447.138,1437.787,1445.837,5080999.85,44
2020-02-05 11:00:00+00:00,1441.097,1447.138,1437.787,1445.837,5080999.85,45
2020-02-05 12:00:00+00:00,1441.097,1447.138,1437.787,1445.837,5080999.85,46
2020-02-05 13:00:00+00:00,1441.097,1447.138,1437.787,1445.837,5080999.85,47
2020-02-05 14:00:00+00:00,1460.498,1463.018,1436.558,1447.178,4638000.01,48
2020-02-05 15:00:00+00:00,1447.178,1447.887,1429.297,1434.118,5224750.04,49
2020-02-05 16:00:00+00:00,1434.117,1443.157,1432.077,1443.018,3654999.97,50
2020-02-05 17:00:00+00:00,1443.027,1443.027,1439.018,1439.958,2975500.11,51
2020-02-05 18:00:00+00:00,1440.027,1440.618,1435.538,1439.288,3644999.98,52
2020-02-05 19:00:00+00:00,1439.278,1445.827,1435.337,1445.287,3573499.92,53
2020-02-05 20:00:00+00:00,1445.618,1447.927,1440.658,1446.008,6058000.09,54
2020-02-05 21:00:00+00:00,1445.618,1447.927,1440.658,1446.008,6058000.09,55
2020-02-05 22:00:00+00:00,1445.618,1447.927,1440.658,1446.008,6058000.09,56
2020-02-05 23:00:00+00:00,1445.618,1447.927,1440.658,1446.008,6058000.09,57
2020-02-06 00:00:00+00:00,1445.618,1447.927,1440.658,1446.008,6058000.09,58
2020-02-06 01:00:00+00:00,1445.618,1447.927,1440.658,1446.008,6058000.09,59
