date,open,high,low,close,volume
2023-01-02 14:00:00,143.166,143.967,142.556,143.946,140.952
2023-01-02 15:00:00,142.576,143.387,142.346,143.177,235.116
2023-01-02 16:00:00,142.327,143.007,142.246,142.587,140.304
2023-01-02 17:00:00,142.176,142.427,141.716,142.326,128.676
2023-01-02 18:00:00,142.416,142.696,141.836,142.166,110.448
2023-01-02 19:00:00,144.347,145.147,141.326,142.406,350.616
2023-01-02 20:00:00,145.396,146.597,144.306,144.336,275.856
2023-01-03 14:00:00,146.877,147.207,146.306,146.607,127.284
2023-01-03 15:00:00,146.466,147.106,145.487,146.897,233.496
2023-01-03 16:00:00,146.436,146.617,145.396,146.447,202.296
2023-01-03 17:00:00,146.367,146.866,146.296,146.446,166.824
2023-01-03 18:00:00,145.866,146.387,145.706,146.376,135.396
2023-01-03 19:00:00,145.477,145.917,145.246,145.866,122.676
2023-01-03 20:00:00,145.317,145.677,144.996,145.486,132.912
2023-01-05 13:00:00,169.426,170.267,169.007,169.257,102.276
2023-01-05 14:00:00,169.507,169.657,168.636,169.427,169.332
2023-01-05 15:00:00,169.637,169.817,168.916,169.507,153.9
2023-01-05 16:00:00,170.346,170.407,169.576,169.627,92.4
2023-01-05 17:00:00,170.136,170.437,170.066,170.336,72.9
2023-01-05 18:00:00,169.517,170.167,169.196,170.127,97.44
2023-01-05 19:00:00,169.527,169.887,169.227,169.526,119.28
2023-01-06 13:00:00,177.277,177.846,176.917,177.597,138.996
2023-01-06 14:00:00,178.947,179.277,177.257,177.306,219.948
2023-01-06 15:00:00,179.576,179.637,178.766,178.947,158.796
2023-01-06 16:00:00,179.896,179.987,179.577,179.577,109.704
2023-01-06 17:00:00,179.876,179.977,179.456,179.896,89.568
2023-01-06 18:00:00,179.807,180.067,179.567,179.876,86.664
2023-01-06 19:00:00,180.096,180.096,179.216,179.817,132.348
2023-01-08 13:00:00,196.427,196.717,195.786,196.227,117.588
2023-01-08 14:00:00,195.786,196.666,195.266,196.447,198.516
2023-01-08 15:00:00,195.906,196.167,195.596,195.797,140.604
2023-01-08 16:00:00,195.767,195.917,195.336,195.887,99.036
2023-01-08 17:00:00,196.056,196.117,195.516,195.776,83.58
