date,open,high,low,close,volume
2020-01-04 13:00:00,154.918,156.227,152.497,152.998,10169699.6689
2020-01-04 14:00:00,156.318,156.548,154.518,154.928,16953601.8372
2020-01-04 15:00:00,155.057,157.747,154.607,156.318,14766486.1679
2020-01-04 16:00:00,152.808,155.128,152.787,155.058,13703576.088
2020-01-04 17:00:00,153.647,153.878,152.667,152.798,13852370.2621
2020-01-04 18:00:00,151.378,154.208,151.297,153.648,13252958.2977
2020-01-04 19:00:00,151.938,152.988,150.797,151.388,18060985.5652
2020-01-05 13:00:00,177.568,177.788,175.607,175.608,5832530.0217
2020-01-05 14:00:00,178.097,178.618,176.797,177.588,12913410.1868
2020-01-05 15:00:00,176.268,178.108,176.138,178.107,9660889.6255
2020-01-05 16:00:00,175.128,176.308,174.888,176.267,9902569.7708
2020-01-05 17:00:00,174.687,175.488,174.408,175.147,8883709.9075
2020-01-05 18:00:00,175.298,175.378,174.397,174.708,12285140.0375
2020-01-05 19:00:00,174.448,176.108,173.998,175.297,14009079.9332
2020-01-06 13:00:00,182.438,182.768,181.438,182.297,13002249.7177
2020-01-06 14:00:00,182.297,182.888,181.747,182.478,25931749.3439
2020-01-06 15:00:00,182.338,182.408,181.778,182.307,22674499.5117
2020-01-06 16:00:00,182.697,182.988,182.067,182.337,15446749.6872
2020-01-06 17:00:00,182.438,182.988,182.288,182.697,14574000.3586
2020-01-06 18:00:00,182.458,182.638,182.177,182.447,14747249.6033
2020-01-06 19:00:00,182.757,182.828,181.787,182.457,20532249.4507
2020-01-07 13:00:00,202.697,203.748,201.747,202.988,22885499.9542
2020-01-07 14:00:00,204.497,204.497,202.567,202.747,36424999.2371
2020-01-07 15:00:00,204.898,205.308,204.267,204.488,24540000.9155
2020-01-07 16:00:00,204.747,205.318,204.497,204.907,19216850.2808
2020-01-07 17:00:00,205.297,205.398,203.997,204.748,24063999.176
2020-01-07 18:00:00,205.587,205.948,205.098,205.297,27655750.2747
2020-01-07 19:00:00,204.608,206.338,204.507,205.588,30813499.4507
2020-01-09 13:00:00,225.957,226.478,224.407,225.607,66630000000.0
2020-01-09 14:00:00,226.068,226.928,225.817,225.957,119457500000.0
2020-01-09 15:00:00,226.087,226.808,225.277,226.068,109757500000.0
2020-01-09 16:00:00,224.948,226.438,224.848,226.118,72267500000.0
2020-01-09 17:00:00,225.598,226.158,224.597,224.948,91415000000.0
2020-01-09 18:00:00,226.597,226.648,225.417,225.587,69227500000.0
2020-01-09 19:00:00,227.227,227.418,226.007,226.607,105142500000.0
2020-01-10 13:00:00,212.497,213.958,211.938,213.077,75490265625.0
2020-01-10 14:00:00,212.168,212.977,211.797,212.497,203880468750.0
2020-01-10 15:00:00,212.377,213.108,211.317,212.157,189560453125.0
2020-01-10 16:00:00,212.317,212.598,211.717,212.378,138750406250.0
2020-01-10 17:00:00,212.307,212.978,211.828,212.327,128160382812.5
2020-01-10 18:00:00,213.348,213.457,211.577,212.338,178770437500.0
2020-01-10 19:00:00,212.348,213.528,211.957,213.338,168080375000.0
2020-01-12 14:00:00,213.667,215.058,213.338,214.498,96472500000.0
