date,open,high,low,close,volume
2024-06-17,174.61417161020418,177.50018558793673,173.9672959357252,176.38558959960938,19618500
2024-06-18,176.28603090296264,176.53482568605844,173.26069302201802,174.24591064453125,21869900
2024-06-20,174.52457916649684,176.43532149280932,174.14642137972143,175.45010375976562,20160100
2024-06-21,176.14672706076468,179.97817324324066,175.75860776109087,178.76405334472656,58582700
2024-06-24,179.29148894733464,180.01796551402666,177.80866646743436,178.35601806640625,18298000
2024-06-25,178.75409335482692,183.401578664655,178.5550605403931,183.1428375244141,23235600
2024-06-26,181.74960191456344,183.6205286880091,181.60031590719575,182.9935760498047,19839000
2024-06-27,183.29210815644677,185.15310369188768,183.1328910161964,184.5161895751953,18848900
2024-06-28,183.4314487222165,184.23754149419085,181.08282505826105,181.2718963623047,29156600
2024-07-01,182.1476496079963,182.99355801066488,180.4259938264045,182.10784912109372,16006100
2024-07-02,181.17239104652464,184.675426365642,180.68474773241152,184.34701538085935,17372500
2024-07-03,183.95886935922263,185.1928817692865,183.11296101955185,184.9241943359375,10242100
2024-07-05,184.9640125784332,189.93990873605247,184.90430425417856,189.68116760253903,20967500
2024-07-08,188.9845297085476,189.25323235252,186.87475460015816,188.1187286376953,21035900
2024-07-09,189.3925599464582,190.43750119218956,187.81022858919,188.0689697265625,15121400
2024-07-10,188.2381491527657,190.8256212780861,188.11873250198263,190.25836181640625,15952500
2024-07-11,188.9347808834167,189.93990642836116,184.1877717548577,184.6754150390625,25625800
2024-07-12,184.18780277249908,186.2080157133378,183.60065057861112,184.1778564453125,22898400
2024-07-15,184.02854389156028,187.3325462689943,184.02854389156028,185.6307830810547,16474000
2024-07-16,186.4567901173401,187.7704188678664,182.48601933178097,183.0333709716797,18290700
2024-07-17,182.0879660715573,182.6651719142087,179.03275819178316,180.1473693847656,20734100
2024-07-18,181.05295487059837,181.62021433579056,175.61928463310315,176.83340454101562,25315700
2024-07-19,178.0176629486904,179.42085410193457,176.27609932136212,176.8035430908203,18881900
2024-07-22,179.7194093461357,181.8192380802969,179.3611442242096,180.7942047119141,24100300
2024-07-23,181.1723915861467,182.7248688386663,180.66484043304783,180.91363525390625,36352700
2024-07-24,172.76313091278035,175.34064163083764,170.99171299042794,171.7978057861328,49585200
2024-07-25,171.68833187653044,172.5839871452518,166.3840245463068,166.4735870361328,44852000
2024-07-26,166.3442171128344,167.27968810242183,163.2691166612827,166.1949462890625,41336900
2024-07-29,168.01611559502874,169.608393293323,167.18016866453198,168.71273803710938,20293800
2024-07-30,169.41933887379136,170.40455671676222,167.6280129976191,169.46908569335938,18959700
2024-07-31,172.40486009944772,173.40998568320978,169.19042016317357,170.71304321289062,25729100
2024-08-01,169.42927737353662,173.21096178514637,168.06588657934952,169.9368133544922,24531400
2024-08-02,165.63762674628265,167.6976397724307,163.87615532883046,165.8565673828125,29130100
2024-08-05,154.75037751729295,163.6373211687644,154.18311804069828,158.4822998046875,53630700
2024-08-06,158.5619267847267,159.7959546386159,155.65600492095376,157.5269317626953,49004600
2024-08-07,160.47264384005365,162.19429958101605,157.70604691611013,158.1737823486328,25138600
2024-08-08,159.73620945801972,162.9008872407048,159.43766784333874,161.24888610839844,25578800
2024-08-09,159.23862184827473,163.000398092681,158.29320462440444,162.8809814453125,28602300
2024-08-12,163.55772680166666,164.1050632777601,161.0598169977751,161.5076446533203,15895300
2024-08-13,162.6222374229294,163.9358660763168,162.1843561433904,163.36862182617188,18551700
2024-08-14,161.61710599661225,162.43316027996852,156.94972801568116,159.59689331054688,40591100
2024-08-15,159.7262535454453,160.86075716882624,158.84054470951835,160.52239990234375,31524300
2024-08-16,160.69158549485795,164.2642751529689,160.35322821372176,162.17440795898438,24208600
2024-08-19,164.4832478901569,165.88645447046704,163.46816066341842,165.86654663085938,22416200
2024-08-20,166.09540498956204,167.82702229118038,166.01580401532578,166.37405395507812,18341500
2024-08-21,164.35385368177072,166.04567062308269,163.87617187439943,165.0504913330078,22902000
2024-08-22,166.45367234576213,166.78208331350032,162.52271742896883,163.01036071777344,22493300
2024-08-23,163.92593892372628,165.37889222824714,163.04022993569524,164.82159423828125,13955700
2024-08-26,165.57793418764655,166.74229212809584,163.6671917839428,165.35899353027344,14190400
2024-08-27,165.04050458406155,165.63761814089003,163.6671676997218,163.88609313964844,11821900
2024-08-28,164.24437113378522,164.80168425036075,160.75129755216656,162.06494140625,16407400
2024-08-29,163.51789374193322,165.1698948767712,159.4774685746095,161.00009155273438,19699800
2024-08-30,161.83604601344155,162.8710409450861,160.91053659277384,162.59239196777344,22123800
2024-09-03,160.94037643790392,161.06975458915718,155.72563212525952,156.6013946533203,38945300
2024-09-04,155.9047798396124,158.23349556383252,155.2081574244905,155.69578552246094,19353800
2024-09-05,155.54652368100116,158.6813323223821,155.22805902416937,156.48199462890625,18688700
2024-09-06,156.5417079408381,157.06915175843542,149.82424762233464,150.1924591064453,37912100
2024-09-09,151.97618615473306,152.86307041013015,146.70470865576445,148.1894989013672,39260500
2024-09-10,149.9234070877786,150.7405443053094,147.82079168812507,148.13967895507812,31118800
2024-09-11,149.39525512685503,150.96972670859367,147.00366157798018,150.63092041015625,29607700
2024-09-12,153.26167533883327,154.27810941261885,152.11569142274135,154.1485595703125,29695000
2024-09-13,154.88596580869884,157.82565255748864,154.66674982863708,156.90887451171875,29591200
2024-09-16,156.75938477605305,157.69609704284937,156.05187841649794,157.5067596435547,18379800
2024-09-17,158.46340663018495,159.98805014794013,157.82564734959053,158.76235961914062,20715600
2024-09-18,159.3004536398648,159.9382128836467,158.04486940518223,159.25062561035156,23677300
2024-09-19,163.13699125474798,163.21669785914025,160.7752763557002,161.57247924804688,26587700
2024-09-20,162.9277289392049,163.15691965207134,161.49276669183348,163.0174102783203,40896400
2024-09-23,163.77475794889105,164.91076718021387,161.10413041931915,161.28350830078125,24150900
2024-09-24,162.45936971037105,162.6487071151764,160.1275637051896,161.72195434570312,23332100
2024-09-25,160.90482465753527,162.24013074634445,160.73542151540698,160.9247589111328,18869200
2024-09-26,163.06723415838286,163.5056965233955,161.71199375988056,162.16041564941406,20319300
2024-09-27,162.24013520895764,165.1200191151141,162.06077253778713,163.3761444091797,21101300
2024-09-30,162.74835741182983,165.56843851321895,162.6885546502899,165.26950073242188,20413900
2024-10-01,167.10304911832094,168.56790499887933,164.00393422069206,166.40550231933594,28338100
2024-10-02,165.83750220141695,166.93365811188724,164.1534150323221,165.2794647216797,17760200
2024-10-03,163.83454298906406,166.05673338351102,163.3462525916035,165.2794647216797,15073100
2024-10-04,167.47176537085613,167.64116852375787,164.90079388696014,166.4752655029297,19047400
2024-10-07,167.13294509267786,167.89027945505126,162.18033994669256,162.40953063964844,22463100
2024-10-08,163.3661793794842,164.15340752983812,162.29991729663377,163.8046417236328,23072700
2024-10-09,162.87788805212205,164.263022155559,159.18088233675397,161.29345703125,31181800
2024-10-10,160.3069086751828,162.49922027250668,159.83855257987992,161.51268005371094,14144100
2024-10-11,161.56252470079164,163.32631847818766,160.6756404471478,162.66864013671875,15344300
2024-10-14,163.0672270976598,165.64815793723565,162.82806167108657,164.3826141357422,19016100
2024-10-15,165.20970620906303,167.0930903489021,164.05377791978614,164.88087463378906,20247200
2024-10-16,163.95410944544955,165.21966843790153,163.16688130069323,164.5819091796875,16406000
2024-10-17,165.1499132702941,165.7876725559894,162.19030754618507,162.35971069335938,21453400
2024-10-18,162.61880125185925,164.13348517236508,162.50918566803227,162.84799194335938,19757700
2024-10-21,162.37965259131107,163.9242304481603,162.05080580588782,163.49574279785156,20946500
2024-10-22,162.4095379206084,165.18978095934807,162.4095379206084,164.56198120117188,16568100
2024-10-23,164.18330093451087,165.2396034909156,161.3632046868505,162.21023559570312,18280500
2024-10-24,162.26006724839118,162.75831715757175,160.44643028039124,162.15045166015625,22412500
2024-10-25,163.09713764873345,165.01041564194605,162.8480126724498,164.69154357910156,19828900
2024-10-28,168.1593374233331,168.1593374233331,163.37613545110457,166.13644409179688,32138600
2024-10-29,167.14290330541456,169.78363683716654,166.50514405647678,169.08607482910156,42169000
2024-10-30,180.04756432112097,181.38288551840023,173.45074095946555,173.84934997558594,68890800
2024-10-31,172.5240116929841,176.20109831225162,170.40146229689762,170.51107788085938,44769000
2024-11-01,169.4747443229776,171.7168690851631,168.28890701589395,170.69046020507812,31796500
2024-11-04,169.33520086207452,170.13240372971748,167.42192310295937,168.6476287841797,21492700
2024-11-05,168.83694632662065,169.93310214015253,168.2490151199897,169.1458740234375,18242100
2024-11-06,173.19167534337777,176.32068423475533,172.8927223501112,175.89218139648438,33695500
