index,open,high,low,close,volume,date
2024-01-01 20:00:00+00:00,192.466,192.957,192.156,192.506,90468002.32,0
2024-01-01 21:00:00+00:00,192.466,192.957,192.156,192.506,90468002.32,1
2024-01-01 22:00:00+00:00,192.466,192.957,192.156,192.506,90468002.32,2
2024-01-01 23:00:00+00:00,192.466,192.957,192.156,192.506,90468002.32,3
2024-01-02 00:00:00+00:00,192.466,192.957,192.156,192.506,90468002.32,4
2024-01-02 01:00:00+00:00,192.466,192.957,192.156,192.506,90468002.32,5
2024-01-02 02:00:00+00:00,192.466,192.957,192.156,192.506,90468002.32,6
2024-01-02 03:00:00+00:00,192.466,192.957,192.156,192.506,90468002.32,7
2024-01-02 04:00:00+00:00,192.466,192.957,192.156,192.506,90468002.32,8
2024-01-02 05:00:00+00:00,192.466,192.957,192.156,192.506,90468002.32,9
2024-01-02 06:00:00+00:00,192.466,192.957,192.156,192.506,90468002.32,10
2024-01-02 07:00:00+00:00,192.466,192.957,192.156,192.506,90468002.32,11
2024-01-02 08:00:00+00:00,192.466,192.957,192.156,192.506,90468002.32,12
2024-01-02 09:00:00+00:00,192.466,192.957,192.156,192.506,90468002.32,13
2024-01-02 10:00:00+00:00,192.466,192.957,192.156,192.506,90468002.32,14
2024-01-02 11:00:00+00:00,192.466,192.957,192.156,192.506,90468002.32,15
2024-01-02 12:00:00+00:00,192.466,192.957,192.156,192.506,90468002.32,16
2024-01-02 13:00:00+00:00,192.466,192.957,192.156,192.506,90468002.32,17
2024-01-02 14:00:00+00:00,187.137,188.427,185.997,186.506,125699996.95,18
2024-01-02 15:00:00+00:00,186.506,186.957,185.177,185.867,168744003.3,19
2024-01-02 16:00:00+00:00,185.866,187.347,185.856,186.737,106008003.23,20
2024-01-02 17:00:00+00:00,186.746,187.027,185.836,185.866,88643997.19,21
2024-01-02 18:00:00+00:00,185.866,185.946,184.737,184.896,79319999.69,22
2024-01-02 19:00:00+00:00,184.897,184.977,184.016,184.037,72720001.22,23
2024-01-02 20:00:00+00:00,184.037,185.627,183.886,185.627,111708000.18,24
2024-01-02 21:00:00+00:00,184.037,185.627,183.886,185.627,111708000.18,25
2024-01-02 22:00:00+00:00,184.037,185.627,183.886,185.627,111708000.18,26
2024-01-02 23:00:00+00:00,184.037,185.627,183.886,185.627,111708000.18,27
2024-01-03 00:00:00+00:00,184.037,185.627,183.886,185.627,111708000.18,28
2024-01-03 01:00:00+00:00,184.037,185.627,183.886,185.627,111708000.18,29
2024-01-03 02:00:00+00:00,184.037,185.627,183.886,185.627,111708000.18,30
2024-01-03 03:00:00+00:00,184.037,185.627,183.886,185.627,111708000.18,31
2024-01-03 04:00:00+00:00,184.037,185.627,183.886,185.627,111708000.18,32
2024-01-03 05:00:00+00:00,184.037,185.627,183.886,185.627,111708000.18,33
2024-01-03 06:00:00+00:00,184.037,185.627,183.886,185.627,111708000.18,34
2024-01-03 07:00:00+00:00,184.037,185.627,183.886,185.627,111708000.18,35
2024-01-03 08:00:00+00:00,184.037,185.627,183.886,185.627,111708000.18,36
2024-01-03 09:00:00+00:00,184.037,185.627,183.886,185.627,111708000.18,37
2024-01-03 10:00:00+00:00,184.037,185.627,183.886,185.627,111708000.18,38
2024-01-03 11:00:00+00:00,184.037,185.627,183.886,185.627,111708000.18,39
2024-01-03 12:00:00+00:00,184.037,185.627,183.886,185.627,111708000.18,40
2024-01-03 13:00:00+00:00,184.037,185.627,183.886,185.627,111708000.18,41
2024-01-03 14:00:00+00:00,184.206,185.857,183.906,184.756,136824005.13,42
2024-01-03 15:00:00+00:00,184.687,185.206,183.446,183.856,186660003.66,43
2024-01-03 16:00:00+00:00,183.856,184.367,183.486,183.496,120227996.83,44
2024-01-03 17:00:00+00:00,183.497,184.367,183.417,184.326,88440002.44,45
2024-01-03 18:00:00+00:00,184.317,184.546,184.166,184.357,75732002.26,46
2024-01-03 19:00:00+00:00,184.346,184.927,183.796,184.637,178871994.02,47
2024-01-03 20:00:00+00:00,184.636,184.697,183.976,184.287,117863998.41,48
2024-01-03 21:00:00+00:00,184.636,184.697,183.976,184.287,117863998.41,49
2024-01-03 22:00:00+00:00,184.636,184.697,183.976,184.287,117863998.41,50
2024-01-03 23:00:00+00:00,184.636,184.697,183.976,184.287,117863998.41,51
2024-01-04 00:00:00+00:00,184.636,184.697,183.976,184.287,117863998.41,52
2024-01-04 01:00:00+00:00,184.636,184.697,183.976,184.287,117863998.41,53
2024-01-04 02:00:00+00:00,184.636,184.697,183.976,184.287,117863998.41,54
2024-01-04 03:00:00+00:00,184.636,184.697,183.976,184.287,117863998.41,55
2024-01-04 04:00:00+00:00,184.636,184.697,183.976,184.287,117863998.41,56
2024-01-04 05:00:00+00:00,184.636,184.697,183.976,184.287,117863998.41,57
2024-01-04 06:00:00+00:00,184.636,184.697,183.976,184.287,117863998.41,58
2024-01-04 07:00:00+00:00,184.636,184.697,183.976,184.287,117863998.41,59
2024-01-04 08:00:00+00:00,184.636,184.697,183.976,184.287,117863998.41,60
2024-01-04 09:00:00+00:00,184.636,184.697,183.976,184.287,117863998.41,61
2024-01-04 10:00:00+00:00,184.636,184.697,183.976,184.287,117863998.41,62
2024-01-04 11:00:00+00:00,184.636,184.697,183.976,184.287,117863998.41,63
