date,open,high,low,close,volume
2023-01-02 14:00:00,247.187,248.357,246.196,247.806,15399600.029
2023-01-02 15:00:00,246.136,247.357,245.607,247.246,27958799.3622
2023-01-02 16:00:00,247.177,247.286,245.786,246.146,18099599.8383
2023-01-02 17:00:00,246.896,247.297,246.696,247.177,20587200.1648
2023-01-02 18:00:00,247.027,247.737,246.787,246.896,16485599.5178
2023-01-02 19:00:00,252.146,253.067,245.437,247.026,38488800.0488
2023-01-02 20:00:00,252.636,255.147,252.006,252.187,37571998.5962
2023-01-03 14:00:00,249.406,250.867,247.746,250.867,16575599.6704
2023-01-03 15:00:00,248.346,249.797,247.246,249.516,30889200.2106
2023-01-03 16:00:00,248.387,248.627,246.526,248.317,26914800.6439
2023-01-03 17:00:00,247.777,248.587,247.686,248.406,23774400.7111
2023-01-03 18:00:00,247.116,247.887,246.916,247.776,19625999.4507
2023-01-03 19:00:00,246.466,247.156,246.296,247.126,19147199.6307
2023-01-03 20:00:00,246.277,246.887,245.767,246.466,21790800.0946
2023-01-05 13:00:00,307.647,308.576,306.487,306.607,8079299.9268
2023-01-05 14:00:00,307.086,307.627,305.746,307.616,17513999.939
2023-01-05 15:00:00,307.037,307.526,306.036,307.076,14715900.4211
2023-01-05 16:00:00,307.856,307.996,306.807,307.046,11079000.473
2023-01-05 17:00:00,307.217,308.036,307.096,307.867,10494000.4349
2023-01-05 18:00:00,306.326,307.436,305.767,307.186,11511899.9481
2023-01-05 19:00:00,305.357,306.357,305.126,306.266,12469499.588
2023-01-06 13:00:00,327.867,328.416,324.676,326.077,6853499.8894
2023-01-06 14:00:00,328.387,328.977,326.346,327.867,15268500.3281
2023-01-06 15:00:00,330.147,330.186,327.996,328.407,14501700.4013
2023-01-06 16:00:00,330.907,331.337,330.157,330.157,12078000.0687
2023-01-06 17:00:00,331.676,331.697,330.396,330.907,10388699.5316
2023-01-06 18:00:00,333.007,333.317,331.407,331.686,10609199.5239
2023-01-06 19:00:00,332.627,333.507,331.226,333.006,14900400.1617
2023-01-08 13:00:00,334.167,335.596,333.686,335.027,4977000.2365
2023-01-08 14:00:00,336.967,337.806,333.786,334.267,10938599.5865
